variant,n_signals,n_active,mean_ic,ic_lag1,hit_lag1,q_spread,sharpe,calmar,win_rate,ann_ret,max_dd
normal,1044,346,0.0195,0.02441839997849622,0.5200803212851406,0.001283346912375707,-0.1065,-0.0478,0.4884,-0.0167,-0.3498
inverted,1044,346,0.0195,0.02441839997849622,0.5200803212851406,0.001283346912375707,-0.1065,-0.0478,0.4884,-0.0167,-0.3498
