period,ic,p_value,n,significant,period_type
2024,,,2,False,year
2025,,,3,False,year
2026,,,2,False,year
2024-Q2,,,1,False,quarter
2024-Q4,,,1,False,quarter
2025-Q1,,,1,False,quarter
2025-Q2,,,1,False,quarter
2025-Q4,,,1,False,quarter
2026-Q1,,,2,False,quarter
