lag,ic,p,n,hit_rate,n_active
1,0.02441839997849622,0.43416899809222054,1028,0.5200803212851406,498
2,0.04128675775355596,0.186793129020819,1024,0.5171026156941649,497
3,0.014315019424035529,0.6477629034746848,1021,0.5161290322580645,496
5,0.004688537418164114,0.881695390894383,1010,0.5273833671399595,493
10,0.012826432128053148,0.6862888100423044,994,0.5112474437627812,489
