lag_days,n,ic,p_value,significant,hit_rate
1,1028,0.02441839997849622,0.43416899809222054,False,0.5200803212851406
2,1024,0.04128203201967029,0.18684361819935347,False,0.5171026156941649
3,1021,0.014315019424035529,0.6477629034746848,False,0.5161290322580645
5,1010,0.004688537418164114,0.881695390894383,False,0.5273833671399595
10,994,0.012831416066781723,0.6861733915915184,False,0.5112474437627812
