model,class,accuracy,weighted_f1,macro_f1,precision,recall,f1
finbert,overall,1.0,1.0,1.0,,,
finbert,negative,,,,1.0,1.0,1.0
finbert,neutral,,,,1.0,1.0,1.0
finbert,positive,,,,1.0,1.0,1.0
