model,model_name,total_return,benchmark_total_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,alpha,beta,total_trades,n_days,ann_turnover,avg_holding_period_days,total_cost_drag,data_coverage_ratio
finbert,finbert,-0.2799,-0.2303,-0.2623,0.1871,-1.7707,-1.4972,-0.6534,-0.4014,0.4558,-0.2813,0.0944,1200,272,1588.9,0.1,1.8,1.0
vader,vader,-0.1473,0.1407,-0.4411,0.1573,-3.9036,-4.2795,-3.069,-0.1437,0.4578,-0.4231,-0.6589,391,69,730.43,0.2,0.5865,1.0
