model,class,accuracy,weighted_f1,macro_f1,precision,recall,f1
vader,overall,1.0,1.0,1.0,,,
vader,negative,,,,1.0,1.0,1.0
vader,neutral,,,,1.0,1.0,1.0
vader,positive,,,,1.0,1.0,1.0
