period,start,end,n_signal_days,n_tickers,sharpe,annualised_return,max_drawdown,hit_rate,ic_mean,ic_t_stat
2025Q4,2025-10-01,2025-12-31,7,59,-0.2547,-0.0536,-0.0326,0.4375,-0.15961,-1.834
2026Q1,2026-01-01,2026-03-31,18,75,2.7849,1.8493,-0.0565,0.6136,0.05586,0.837
