rebalance_date,A_baseline|S100,A_baseline|S70+M30,A_baseline|S60+V40,A_baseline|S60+L40,A_baseline|S50+M30+V20,A_baseline|S50+M20+V30,A_baseline|S40+M30+V20+L10,A_baseline|S40+M20+V20+L20,A_baseline|S40+M40+V20,A_baseline|S30+M50+V20,A_baseline|S40+M20+V40,A_baseline|S33+M33+V34,B_conf_weighted|S100,B_conf_weighted|S70+M30,B_conf_weighted|S60+V40,B_conf_weighted|S60+L40,B_conf_weighted|S50+M30+V20,B_conf_weighted|S50+M20+V30,B_conf_weighted|S40+M30+V20+L10,B_conf_weighted|S40+M20+V20+L20,B_conf_weighted|S40+M40+V20,B_conf_weighted|S30+M50+V20,B_conf_weighted|S40+M20+V40,B_conf_weighted|S33+M33+V34,C_shock_filter|S100,C_shock_filter|S70+M30,C_shock_filter|S60+V40,C_shock_filter|S60+L40,C_shock_filter|S50+M30+V20,C_shock_filter|S50+M20+V30,C_shock_filter|S40+M30+V20+L10,C_shock_filter|S40+M20+V20+L20,C_shock_filter|S40+M40+V20,C_shock_filter|S30+M50+V20,C_shock_filter|S40+M20+V40,C_shock_filter|S33+M33+V34,D_sector_neutral|S100,D_sector_neutral|S70+M30,D_sector_neutral|S60+V40,D_sector_neutral|S60+L40,D_sector_neutral|S50+M30+V20,D_sector_neutral|S50+M20+V30,D_sector_neutral|S40+M30+V20+L10,D_sector_neutral|S40+M20+V20+L20,D_sector_neutral|S40+M40+V20,D_sector_neutral|S30+M50+V20,D_sector_neutral|S40+M20+V40,D_sector_neutral|S33+M33+V34,E_all_improvements|S100,E_all_improvements|S70+M30,E_all_improvements|S60+V40,E_all_improvements|S60+L40,E_all_improvements|S50+M30+V20,E_all_improvements|S50+M20+V30,E_all_improvements|S40+M30+V20+L10,E_all_improvements|S40+M20+V20+L20,E_all_improvements|S40+M40+V20,E_all_improvements|S30+M50+V20,E_all_improvements|S40+M20+V40,E_all_improvements|S33+M33+V34,F_vol_target|S100,F_vol_target|S70+M30,F_vol_target|S60+V40,F_vol_target|S60+L40,F_vol_target|S50+M30+V20,F_vol_target|S50+M20+V30,F_vol_target|S40+M30+V20+L10,F_vol_target|S40+M20+V20+L20,F_vol_target|S40+M40+V20,F_vol_target|S30+M50+V20,F_vol_target|S40+M20+V40,F_vol_target|S33+M33+V34,G_vix_filter|S100,G_vix_filter|S70+M30,G_vix_filter|S60+V40,G_vix_filter|S60+L40,G_vix_filter|S50+M30+V20,G_vix_filter|S50+M20+V30,G_vix_filter|S40+M30+V20+L10,G_vix_filter|S40+M20+V20+L20,G_vix_filter|S40+M40+V20,G_vix_filter|S30+M50+V20,G_vix_filter|S40+M20+V40,G_vix_filter|S33+M33+V34
2022-09-29,0.105754,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,0.009734,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,0.105754,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,0.009734,-0.014372000000000001,-0.014372000000000001,-0.123126,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,0.009734,-0.014372000000000001,-0.014372000000000001,-0.123126,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,0.009734,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,0.105754,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001,-0.014372000000000001
2025-01-30,-0.0018509999999999985,0.017827,0.072947,-0.046455,0.040455000000000005,0.040455000000000005,0.040455000000000005,0.072947,0.017827,0.017827,0.040455000000000005,0.040455000000000005,-0.0018509999999999985,0.017827,0.072947,-0.046455,0.040455000000000005,0.040455000000000005,0.040455000000000005,0.072947,0.017827,0.017827,0.040455000000000005,0.040455000000000005,-0.0018509999999999985,0.017827,0.072947,-0.046455,0.040455000000000005,0.040455000000000005,0.040455000000000005,0.072947,0.017827,0.017827,0.040455000000000005,0.040455000000000005,-0.0018509999999999985,0.017827,0.072947,-0.046455,0.040455000000000005,0.040455000000000005,0.040455000000000005,0.072947,0.017827,0.017827,0.040455000000000005,0.040455000000000005,-0.0018509999999999985,0.017827,0.072947,-0.046455,0.040455000000000005,0.040455000000000005,0.040455000000000005,0.072947,0.017827,0.017827,0.040455000000000005,0.040455000000000005,-0.0018509999999999985,0.017827,0.072947,-0.023827,0.017827,0.050319,0.050319,0.050319,0.017827,0.017827,0.072947,0.017827,-0.0018509999999999985,0.017827,0.072947,-0.046455,0.040455000000000005,0.040455000000000005,0.040455000000000005,0.072947,0.017827,0.017827,0.040455000000000005,0.040455000000000005
2025-06-24,0.060591000000000006,0.088287,0.055122000000000004,-0.066591,0.088287,0.055122000000000004,0.088287,0.088287,0.088287,0.088287,0.055122000000000004,0.055122000000000004,0.060591000000000006,0.088287,0.055122000000000004,-0.066591,0.088287,0.055122000000000004,0.088287,0.088287,0.088287,0.088287,0.055122000000000004,0.055122000000000004,0.060591000000000006,0.088287,0.055122000000000004,-0.066591,0.088287,0.055122000000000004,0.088287,0.088287,0.088287,0.088287,0.055122000000000004,0.055122000000000004,0.060591000000000006,0.088287,0.055122000000000004,-0.066591,0.088287,0.055122000000000004,0.088287,0.088287,0.088287,0.088287,0.055122000000000004,0.055122000000000004,0.060591000000000006,0.088287,0.055122000000000004,-0.066591,0.088287,0.055122000000000004,0.088287,0.088287,0.088287,0.088287,0.055122000000000004,0.055122000000000004,0.060591000000000006,0.088287,0.055122000000000004,0.030165,0.055122000000000004,0.055122000000000004,0.088287,0.088287,0.055122000000000004,0.055122000000000004,0.055122000000000004,0.055122000000000004,0.060591000000000006,0.088287,0.055122000000000004,-0.066591,0.088287,0.055122000000000004,0.088287,0.088287,0.088287,0.088287,0.055122000000000004,0.055122000000000004
2025-09-04,-0.034172,0.008308999999999999,-0.045481,-0.027389999999999998,0.008591,-0.045481,-0.015799,-0.015799,0.008591,0.008591,-0.045481,-0.034172,-0.034172,0.008308999999999999,-0.045481,-0.027389999999999998,0.008591,-0.045481,-0.015799,-0.015799,0.008591,0.008591,-0.045481,-0.034172,-0.034172,0.008308999999999999,-0.045481,-0.027389999999999998,0.008591,-0.045481,-0.015799,-0.015799,0.008591,0.008591,-0.045481,-0.034172,-0.034172,0.008308999999999999,-0.045481,-0.027389999999999998,0.008591,-0.045481,-0.015799,-0.015799,0.008591,0.008591,-0.045481,-0.034172,-0.034172,0.008308999999999999,-0.045481,-0.027389999999999998,0.008591,-0.045481,-0.015799,-0.015799,0.008591,0.008591,-0.045481,-0.034172,-0.034172,0.008308999999999999,-0.045481,-0.027389999999999998,0.008591,-0.045481,-0.015799,-0.027389999999999998,-0.015799,0.008308999999999999,-0.045481,-0.0027180000000000017,-0.034172,0.008308999999999999,-0.045481,-0.027389999999999998,0.008591,-0.045481,-0.015799,-0.015799,0.008591,0.008591,-0.045481,-0.034172
2025-12-10,-0.015323,2.199999999999945e-05,-0.0036299999999999995,0.0006270000000000008,0.0051589999999999995,0.002287,0.008133999999999999,0.006418,0.004143999999999999,0.008053999999999999,0.0028060000000000003,0.009484,-0.010348999999999999,-0.0031600000000000005,-0.0036299999999999995,0.0006270000000000008,0.0051589999999999995,0.002287,0.008133999999999999,0.006418,0.007994999999999999,0.008053999999999999,0.0028060000000000003,0.011441,-0.015323,2.199999999999945e-05,-0.0036299999999999995,0.0006270000000000008,0.0051589999999999995,0.002287,0.008133999999999999,0.006418,0.004143999999999999,0.008053999999999999,0.0028060000000000003,0.009484,0.002933,-0.003256,-0.001685999999999999,-0.003463,0.0021749999999999994,-0.0038780000000000004,0.006298,0.0048779999999999995,0.005101999999999999,0.005587,0.0024019999999999996,0.005811,0.002933,-0.003256,0.0017920000000000004,-0.003463,0.0021749999999999994,-0.0038780000000000004,0.006298,0.0048779999999999995,0.005101999999999999,0.005587,0.002402,0.011498999999999999,-1.1999999999999858e-05,0.009495,0.002176,0.003928,-0.0027340000000000003,0.0031670000000000005,-0.002623999999999999,0.0022750000000000005,-0.003079,0.009616,0.0031500000000000005,0.01151,-0.015323,2.199999999999945e-05,-0.0036299999999999995,0.0006270000000000008,0.0051589999999999995,0.002287,0.008133999999999999,0.006418,0.004143999999999999,0.008053999999999999,0.0028060000000000003,0.009484
2025-12-12,-0.015628,-0.008114,-0.009762,-0.008667,-0.014964,-0.016657,-0.013806,-0.020839,-0.011304000000000002,-0.006687,-0.010763,-0.010326,-0.015311,-0.008114,-0.009762,-0.008667,-0.014964,-0.016657,-0.013806,-0.020839,-0.011304,-0.006687,-0.010763,-0.010546,-0.011881,-0.008819,-0.013105,-0.010934,-0.013924,-0.016005000000000002,-0.011433,-0.015707,-0.013924,-0.005647,-0.012875000000000001,-0.010326,-0.024121999999999998,-0.020575999999999997,-0.027299,-0.016488999999999997,-0.023591,-0.02294,-0.021639,-0.020574,-0.023389,-0.015498,-0.021366,-0.01875,-0.005830999999999999,-0.010959,-0.011201,-0.011106,-0.015447,-0.018726,-0.01505,-0.012171,-0.014113,-0.010535,-0.015287,-0.012621,-0.014994,-0.013160999999999999,-0.009762,-0.011435,-0.013946,-0.020371,-0.008834,-0.017934,-0.012654,-0.008994,-0.014283,-0.007642,-0.015628,-0.008114,-0.009762,-0.008667,-0.014964,-0.016657,-0.013806,-0.020839,-0.011304000000000002,-0.006687,-0.010763,-0.010326
2025-12-16,-0.011959000000000001,-0.0014960000000000004,-0.00024799999999999963,-0.008415,-0.0022130000000000006,-0.0012480000000000004,-0.003706,-0.00344,-0.005054,-0.004357,-0.0014070000000000003,-0.0021810000000000006,-0.011939,-0.001496,8.30000000000005e-05,-0.008415,-0.0022130000000000006,-0.0005130000000000003,-0.0028840000000000003,-0.0030530000000000006,-0.005459,-0.004357,0.0011429999999999995,-0.0021810000000000006,-0.006477,-0.0064150000000000006,0.0009589999999999996,-0.0060490000000000006,-0.0022130000000000006,-0.0012480000000000004,-4.300000000000007e-05,3.700000000000003e-05,-0.0022130000000000006,-0.004407,0.0010819999999999996,0.0016919999999999995,-0.0041600000000000005,-0.0033830000000000006,-0.003854,-0.010717,-0.005253,-0.0041,-0.004367,-0.006895999999999999,-0.0051140000000000005,-0.0014980000000000006,-0.0011010000000000002,-0.0036410000000000006,0.00039099999999999996,-0.0019690000000000003,-0.00228,-0.011567000000000001,-0.005149,-0.003393,-0.004367,-0.001637,-0.0051140000000000005,-0.0014980000000000006,-0.004359,0.0002929999999999994,-0.006853000000000001,-0.002544,-0.0048720000000000005,-0.010271,-0.0010730000000000006,-0.0014760000000000007,-0.0036700000000000005,-0.0005150000000000002,-0.0006199999999999999,-0.0006199999999999999,-0.00226,-0.003971000000000001,-0.011959000000000001,-0.0014960000000000004,-0.00024799999999999963,-0.008415,-0.0022130000000000006,-0.0012480000000000004,-0.003706,-0.00344,-0.005054,-0.004357,-0.0014070000000000003,-0.0021810000000000006
2025-12-18,-0.033319999999999995,-0.01031,-0.022092,-0.010142,-0.019521,-0.017403000000000002,-0.007496,-0.007797999999999999,-0.013760000000000001,0.008807,-0.026557,-0.015942,-0.033252,-0.013687000000000001,-0.026184,-0.010142,-0.024464999999999997,-0.017403000000000002,-0.008943,-0.007798000000000001,-0.018622,0.008806999999999999,-0.021262,-0.015942,-0.031687,-0.0070420000000000005,-0.02457,-0.011425,-0.0189,-0.01414,-0.011332,-0.006749000000000001,-0.002205000000000001,0.008807,-0.026557,-0.015942,-0.010643000000000001,-0.0019290000000000002,-0.022634,-0.008245,-0.011669,-0.018462,-0.0033890000000000014,-0.006840000000000001,-0.007965000000000002,-0.0021230000000000003,-0.0184,-0.008049,-0.011212,-0.0036510000000000006,-0.022439,-0.007513000000000001,-0.009627,-0.020144000000000002,-0.007678000000000001,-0.0074090000000000015,-0.009891,-0.004571,-0.014865,-0.007326,-0.020105,-0.00811,-0.021547,0.0031429999999999995,0.0014649999999999982,-0.021152,0.006232999999999999,0.0002939999999999987,0.0050609999999999995,0.014069,-0.021705000000000002,-0.013296,-0.033319999999999995,-0.01031,-0.022092,-0.010142,-0.019521,-0.017403000000000002,-0.007496,-0.007797999999999999,-0.013760000000000001,0.008807,-0.026557,-0.015942
2025-12-22,-0.0020169999999999997,-0.0024159999999999997,-0.00951,0.002091,-0.007254,-0.010484,-0.006959,-0.007516,-0.005321,-0.007363,-0.012369999999999999,-0.011356999999999999,-0.0053750000000000004,-0.0059900000000000005,-0.008674999999999999,0.0020909999999999995,-0.007097,-0.011706,-0.008538,-0.007516,-0.006343,-0.007363,-0.012369999999999999,-0.011356999999999999,-0.005906,-0.00377,-0.009557,0.001206,-0.006697,-0.010813,-0.0077139999999999995,-0.009025,-0.005606,-0.006429,-0.012369999999999999,-0.011317,-0.0032799999999999995,-0.004175,-0.009755999999999999,-0.0012520000000000003,-0.00977,-0.008457,-0.00949,-0.00907,-0.009257999999999999,-0.010387,-0.00869,-0.008943999999999999,-0.005644,-0.005187,-0.010091999999999999,-0.0012980000000000003,-0.010048999999999999,-0.0075889999999999985,-0.009633,-0.008075,-0.009257999999999999,-0.007596,-0.007675999999999999,-0.008790999999999998,-0.001083,-0.002518,-0.0021730000000000005,-0.00015899999999999964,-0.002088,-0.006999999999999999,-0.001973,-0.002596,-0.0011780000000000002,-0.0042,-0.011735,-0.00949,-0.0020169999999999997,-0.0024159999999999997,-0.00951,0.002091,-0.007254,-0.010484,-0.006959,-0.007516,-0.005321,-0.007363,-0.012369999999999999,-0.011356999999999999
2025-12-24,-0.0016400000000000002,-0.012615,-0.007161,-0.0018680000000000003,-0.008847,-0.012322999999999999,-0.010537,-0.010173,-0.009256,-0.014172,-0.009301,-0.010765,-0.00483,-0.012028,-0.007619,-0.0018680000000000003,-0.008847,-0.012323,-0.010537,-0.010061,-0.012145,-0.014172,-0.008472,-0.010194,-0.0029570000000000004,-0.009068,-0.006987,-0.0018299999999999998,-0.011809,-0.012638,-0.013899,-0.009735,-0.009256,-0.013637,-0.008166,-0.010671,0.0012070000000000002,-0.007298,-0.00032800000000000006,0.0020069999999999997,-0.00924,-0.005723,-0.009229,-0.003746,-0.012447,-0.011036,-0.005403,-0.00937,-0.0014190000000000003,-0.006751,-0.005806,-0.00025600000000000015,-0.009817,-0.007517,-0.008574,-0.006623,-0.013594,-0.011431,-0.006649,-0.011158,-0.002599,-0.009687,-0.008548,-0.002928,-0.009715,-0.010043,-0.013763000000000001,-0.011542,-0.011998,-0.012871,-0.011685,-0.012807,-0.0016400000000000002,-0.012615,-0.007161,-0.0018680000000000003,-0.008847,-0.012322999999999999,-0.010537,-0.010173,-0.009256,-0.014172,-0.009301,-0.010765
