variant,n_signals,n_active,ic_1d,p_value,hit_rate_1d,sharpe
no keywords (base),510,379,-0.021961795691838766,0.6207343300357872,0.48490945674044267,-2.1234
with keywords (CAR adj),510,379,-0.020371100416305386,0.646260725861856,0.48490945674044267,-2.1234
with keywords (CAR>0.5%),510,379,-0.02237469400707473,0.614180576197653,0.48490945674044267,-2.1234
